Shuffle_1_pred_train,Shuffle_1_train,Shuffle_2_pred_train,Shuffle_2_train,Shuffle_3_pred_train,Shuffle_3_train,Shuffle_4_pred_train,Shuffle_4_train,Shuffle_5_pred_train,Shuffle_5_train,Shuffle_6_pred_train,Shuffle_6_train,Shuffle_7_pred_train,Shuffle_7_train,Shuffle_8_pred_train,Shuffle_8_train,Shuffle_9_pred_train,Shuffle_9_train,Shuffle_10_pred_train,Shuffle_10_train,Shuffle_11_pred_train,Shuffle_11_train,Shuffle_12_pred_train,Shuffle_12_train,Shuffle_13_pred_train,Shuffle_13_train,Shuffle_14_pred_train,Shuffle_14_train,Shuffle_15_pred_train,Shuffle_15_train,Shuffle_16_pred_train,Shuffle_16_train,Shuffle_17_pred_train,Shuffle_17_train,Shuffle_18_pred_train,Shuffle_18_train,Shuffle_19_pred_train,Shuffle_19_train,Shuffle_20_pred_train,Shuffle_20_train,Shuffle_21_pred_train,Shuffle_21_train,Shuffle_22_pred_train,Shuffle_22_train,Shuffle_23_pred_train,Shuffle_23_train,Shuffle_24_pred_train,Shuffle_24_train,Shuffle_25_pred_train,Shuffle_25_train,Shuffle_26_pred_train,Shuffle_26_train,Shuffle_27_pred_train,Shuffle_27_train,Shuffle_28_pred_train,Shuffle_28_train,Shuffle_29_pred_train,Shuffle_29_train,Shuffle_30_pred_train,Shuffle_30_train,Shuffle_31_pred_train,Shuffle_31_train,Shuffle_32_pred_train,Shuffle_32_train,Shuffle_33_pred_train,Shuffle_33_train,Shuffle_34_pred_train,Shuffle_34_train,Shuffle_35_pred_train,Shuffle_35_train,Shuffle_36_pred_train,Shuffle_36_train,Shuffle_37_pred_train,Shuffle_37_train,Shuffle_38_pred_train,Shuffle_38_train,Shuffle_39_pred_train,Shuffle_39_train,Shuffle_40_pred_train,Shuffle_40_train,Shuffle_41_pred_train,Shuffle_41_train,Shuffle_42_pred_train,Shuffle_42_train,Shuffle_43_pred_train,Shuffle_43_train,Shuffle_44_pred_train,Shuffle_44_train,Shuffle_45_pred_train,Shuffle_45_train,Shuffle_46_pred_train,Shuffle_46_train,Shuffle_47_pred_train,Shuffle_47_train,Shuffle_48_pred_train,Shuffle_48_train,Shuffle_49_pred_train,Shuffle_49_train,Shuffle_50_pred_train,Shuffle_50_train
27.72529,32.71861987,25.147467,20.99680276,25.467417,27.44486523,25.604897,22.58270917,25.14969,20.78031857,23.991682,26.51299949,26.601639,28.08988764,24.529621,23.64512607,23.677671,19.75308642,30.397306,31.81792356,25.726358,26.88510817,29.633541,32.14259625,25.261618,24.51449191,25.216818,24.30248706,26.466494,25.99243856,25.702787,26.52851035,25.448086,29.35930387,24.22839,18.36572462,24.067644,25.86020525,24.877386,24.31412397,24.000877,21.70792339,23.718904,26.43807082,24.701517,27.4196135,23.958187,23.80759138,25.832138,27.38200637,25.545738,24.86872506,26.11932,26.33288875,26.30543,28.39506173,24.553482,22.35174287,25.498587,25.38146854,24.140875,24.74093729,26.040976,26.07897153,24.259317,25.39343112,25.522017,31.82240796,28.076555,28.24659275,24.899937,27.04164413,25.571726,28.27651415,24.510103,26.14927686,18.219954,17.23904813,23.622375,19.39618823,26.742886,27.04164413,28.576893,29.40778799,24.522223,33.02366091,23.375687,23.38868656,24.996038,25.76571346,26.247166,27.14908502,23.419273,23.23345618,23.261072,21.13885586,24.851648,23.29122996,25.995579,25.75682425
25.774727,28.99119977,26.207369,33.68278938,25.895134,22.87115685,24.615551,21.41094498,25.180992,26.57608651,23.713982,20.30517483,24.3629,22.8774057,23.95512,26.06167931,23.886961,23.62723083,25.260748,24.99979708,23.00798,19.91836735,20.351128,19.15982728,26.110966,26.25958475,25.231113,24.38652644,25.443096,22.01563454,26.06845,24.54171751,24.889776,19.91836735,25.596828,33.16124977,24.46916,26.49302563,22.665844,21.41510386,24.201456,20.92182272,24.069143,24.58288002,25.463316,23.38435374,23.88418,24.84089091,25.27051,23.91480551,25.616137,27.1430375,25.703049,29.04657027,26.118847,32.37086919,24.376917,23.50159003,24.22582,25.99243856,22.252312,17.7221172,26.695047,26.57608651,24.52002,23.28774015,25.443052,25.38146854,20.047943,19.89619377,27.262794,31.77393186,24.56669,28.52916314,24.81363,21.63331531,25.822145,26.17519452,25.178524,25.30693205,26.59676,27.02195534,22.473618,22.01563454,23.858416,26.51299949,23.94643,23.38435374,22.714598,19.81767737,25.42008,24.38652644,30.890163,31.72198708,25.921236,25.54085276,26.674612,33.02366091,27.149384,31.96022727
24.12967,24.44727891,24.457968,22.72440348,24.884304,17.92821543,24.441843,18.91968593,25.89486,22.25690831,23.720308,19.15982728,24.653032,24.33388187,24.276812,26.33288875,23.601002,21.50959983,21.305307,20.68515024,22.747728,22.93935895,27.566326,28.24659275,25.362038,25.56495392,24.752823,21.08561204,24.905647,23.71184463,27.77527,29.57951194,25.056135,17.93885839,25.281134,26.62316053,21.503246,19.78997095,22.184763,21.84700852,23.939007,21.0498179,28.7338,44.9200687,25.138424,24.33227705,24.121307,27.47562949,23.857996,22.64737696,24.975046,23.47414599,26.45476,26.66137671,27.129944,31.68895227,24.649498,21.41510386,26.035301,29.44546896,24.24428,23.64512607,19.919931,19.89619377,25.315662,24.24781885,25.138378,25.46489155,20.304762,18.68512111,24.90677,26.21882086,24.531803,21.17847469,22.975155,19.67516685,21.24248,20.88391156,24.67956,23.9136189,22.931383,22.96255311,23.829418,23.71960925,24.466932,22.58967353,25.673681,25.5036157,25.445763,24.77209671,24.585384,24.19486611,23.172613,22.47028706,28.617756,31.4359113,26.81187,27.7488727,26.231792,27.47252747
25.124529,26.6773376,25.920135,33.02366091,24.095526,23.80759138,26.081896,29.66797122,24.126413,21.75546853,23.972862,23.85798817,24.567854,25.98811809,23.697096,32.76939491,23.306086,20.69878295,24.059612,23.66691015,22.284275,19.50625761,21.48826,20.05966902,26.611813,28.56044379,24.347677,22.03840116,24.905241,23.8497766,27.970196,30.11937557,25.722488,29.93320461,25.003462,21.70792339,25.21372,28.21380938,23.825981,23.80646499,24.916666,28.22297514,23.865854,30.55681304,27.396765,35.81771071,23.790335,28.22297514,26.385508,29.27099403,26.118948,26.55596594,22.537193,21.15190681,24.939127,20.07100592,25.832462,26.43126016,24.612856,25.30693205,24.324068,32.20581046,31.801855,31.98383974,24.368555,22.6202804,24.84949,21.2990385,22.269554,21.10474003,24.26149,21.75546853,24.490746,27.17077119,25.323776,26.17519452,24.909258,24.58848439,26.633776,34.88985354,30.900333,30.9178744,24.89368,24.24242424,22.425657,20.23275047,27.085197,26.60876108,23.472006,23.27266788,26.295408,24.01951586,21.712364,21.41964658,23.633377,22.72440348,26.633911,23.73742844,26.50413,23.22784363
24.624905,25.95155709,24.788372,25.14285714,24.24453,25.87526684,24.333475,23.72366026,26.245325,27.44486523,24.10133,27.44059917,24.290995,22.47182263,24.053974,23.67410758,23.916904,26.24073523,21.08329,18.98760765,25.762918,26.21882086,22.49297,22.00310342,23.300903,19.24704834,24.39788,20.30517483,24.655277,21.87755102,25.872755,27.17077119,25.562454,26.17519452,25.027222,26.7578125,24.298916,25.71166208,25.386454,25.2493372,24.95318,23.66691015,23.449778,21.79944511,25.243425,27.42987736,23.931814,23.45856238,25.353817,23.38755284,26.96786,26.16189597,25.577179,27.85540909,24.803976,24.82635244,23.975388,23.62723083,24.84984,24.58848439,23.965714,28.29334541,30.123535,30.32334259,24.933899,26.14927686,25.17666,26.6773376,40.796494,43.18478734,24.061466,20.61025425,27.026628,32.88790705,25.708958,30.06241218,24.787655,24.70194201,24.00273,27.17391304,20.714895,20.14531998,25.016752,24.9107674,23.975418,30.77262972,24.982363,24.78425752,21.773867,19.83733386,25.081505,23.80759138,25.452261,25.24689983,27.547598,32.63946145,25.86089,29.02560764,25.913004,27.66927083
25.5754,29.51016286,24.704893,20.9675255,24.867903,24.15881797,25.641253,26.99588926,26.747995,33.64845377,23.870584,23.73742844,25.261467,22.48132907,24.462309,24.09870213,24.477629,30.18959063,23.320717,22.98539751,24.209015,23.8497766,22.988014,21.4532872,23.796717,20.07100592,24.415625,22.51627809,24.903893,22.48132907,24.87239,23.47414599,25.19282,24.78425752,26.908506,27.62347543,22.588522,20.68515024,34.131012,35.15625,25.272219,30.40762656,24.031498,22.58270917,25.068312,22.92065764,24.412815,32.52595156,24.10169,19.50625761,25.287636,23.71927191,25.300056,26.30361892,25.33724,29.06122449,24.395906,23.19831507,24.931927,26.59574468,24.439322,24.15435785,24.233803,24.19486611,25.085878,23.17000595,26.015034,27.16049383,30.402975,30.66129192,25.804516,24.54171751,25.54944,27.75510204,24.03155,25.91068435,34.206814,35.81771071,24.501299,20.94822456,22.919703,22.47836668,28.952513,29.62962963,23.54743,22.30814991,23.564806,23.42601142,24.898441,24.59940916,24.177483,21.23197675,25.901106,26.43126016,26.74328,30.18959063,24.460875,25.40170132,25.512236,24.30248706
24.808722,22.79032897,24.552534,25.30693205,24.875168,23.91883029,26.889301,29.11452647,26.872854,25.57377526,24.36409,21.94750515,25.456839,26.716141,24.064724,27.33236152,23.75897,19.89619377,24.437935,24.21229339,27.094107,28.21380938,28.064764,29.03779945,23.475807,23.1273979,25.71489,27.33564014,25.067244,25.64891762,27.835613,31.01438649,24.98935,23.62028791,23.850964,25.73151536,23.23429,21.2296622,32.257385,32.79126754,24.681797,24.38652644,24.39593,25.12911004,26.905869,28.39506173,23.799381,23.24340802,25.990452,30.56384175,26.272507,27.17391304,24.977875,23.49621462,24.310162,23.45856238,24.886225,25.54085276,24.049246,21.41964658,24.006802,24.51449191,28.456705,28.52317508,24.27675,24.29622459,24.997276,21.2296622,21.247751,21.18753484,25.755741,25.87347869,25.240932,29.91689751,25.533745,20.52260377,23.31845,22.96255311,24.706758,24.95874418,26.743418,27.01382742,21.663084,20.52260377,24.49194,29.75778547,23.371782,23.36716214,24.00895,23.80759138,29.05626,25.12294645,21.517023,20.90419501,24.8254,22.58953168,24.17681,19.04746266,25.745144,24.45606342
24.188148,22.74338374,25.163149,22.6202804,24.538568,22.8774057,25.220144,21.01707637,27.109499,31.25393825,24.195374,26.33288875,24.089127,19.47077787,23.928782,29.86055123,24.595524,24.76756592,25.92113,26.07897153,22.63631,21.6192844,23.202707,21.63331531,22.98629,19.28208925,25.132612,30.21321664,23.960703,25.79994961,23.256437,21.43365268,25.475115,24.84089091,25.194807,24.8791787,23.335768,22.62423752,28.666948,29.33741144,25.332434,22.85260861,24.049803,21.2990385,25.981586,30.79584775,24.039043,24.04934359,25.421947,29.86055123,27.009357,34.71783866,24.717741,25.76571346,25.555016,26.86120692,24.472982,24.55681371,23.796505,21.33333333,24.613724,27.45865421,22.065235,21.88707637,24.963755,23.25501864,25.937395,22.95568433,22.894352,22.30033081,27.681047,32.63946145,27.730783,39.70816116,24.450207,20.9675255,25.738682,24.6892798,26.224335,30.56384175,22.17184,22.22222222,33.58203,35.81771071,24.148552,23.183391,23.036032,22.23311509,25.248505,24.90641227,24.579384,19.89619377,25.070663,24.96494648,23.837116,21.75546853,24.432026,23.80646499,24.842094,24.25127831
25.623194,26.47058824,24.757797,24.21229339,25.379868,22.25690831,24.91462,24.862576,24.6766,20.20031984,23.633797,27.39800347,25.43155,27.55723587,23.805172,21.46193662,23.755106,19.81767737,24.171286,23.71960925,25.192318,25.59220998,24.49921,24.38652644,23.14451,22.22222222,26.169682,25.89789823,25.416136,21.18753484,26.125467,25.16862209,25.369518,21.9992899,23.75391,22.47028706,23.726236,24.76756592,22.310907,21.85069111,23.978575,22.98190175,24.570963,32.78799351,24.912987,20.78031857,24.460737,26.72824061,24.81425,25.21860695,24.255835,19.54758781,22.850473,22.86236854,24.953142,28.08988764,28.358736,36.07210814,26.14129,28.57142857,23.94983,26.14551891,23.391586,23.4375,25.10823,28.51414569,24.4151,22.79032897,26.57663,26.98600101,25.342583,28.24278947,24.95549,21.4532872,27.142103,27.13141179,25.171934,24.86872506,24.93956,27.59183673,29.076988,29.34003963,21.352654,20.45402894,23.403635,22.81131655,22.300552,21.46193662,26.344519,27.42987736,25.954487,25.59220998,27.208035,27.46481071,26.544601,27.45865421,25.074005,21.50959983,26.05471,26.29253459
24.937174,20.45402894,24.974808,26.98600101,26.113487,25.08286303,25.240656,23.20719955,25.923662,22.21006513,24.506481,26.72824061,25.845438,24.77209671,23.779812,25.88734602,24.06398,26.20656106,23.62137,22.74338374,30.758406,32.20581046,25.457167,25.86020525,24.447744,23.58983547,25.0136,23.1884058,24.364971,23.88059701,23.19402,22.74338374,25.217888,25.59220998,25.84842,28.38953157,22.59597,19.67516685,20.75711,20.37273243,24.89598,21.65572111,22.977057,18.62138619,25.464764,25.38146854,23.55828,24.38271605,24.476917,22.22222222,25.501717,22.91303307,24.503738,23.08786813,24.813198,22.30935641,24.892715,24.51449191,24.60745,20.98765432,24.11311,25.86020525,28.119337,28.24659275,25.265907,24.59321113,24.080055,22.30935641,22.229158,21.6192844,25.146034,29.93320461,25.323933,25.71166208,24.823477,22.83500983,28.251034,29.03673779,30.079647,28.25096981,25.010399,24.84089091,24.52621,24.4140625,22.852295,18.46053875,20.885836,18.7260073,26.33245,27.02195534,25.493578,24.05693475,28.281532,29.51016286,25.043568,23.71184463,24.165663,18.7955204,25.372328,25.08286303
